"Article_text_name","Article_heading","Article_data"
"Комитет Госдумы по развитию Дальнего Востока и Арктики поддержал кандидатуры Юрия Трутнева на должность заместителя председателя правительства — полномочного представителя президента в ДФО — и Алексея Чекункова на пост министра по развитию Дальнего Востока и Арктики и рекомендовал их Госдуме для утверждения. Об этом сообщили РБК в пресс-службе вице-премьера.","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"«Решение комитета принято единогласно», — заявил председатель комитета Госдумы Николай Харитонов. Заместитель председателя, вице-спикер Госдумы Ирина Яровая добавила, что Трутнев и Чекунков «всем делом своей жизни подтвердили, что нет задач формальных, все задачи сущностные».","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Чекунков, выступая на заседании комитета, заявил, что главная задача — это обеспечить жителям Дальнего Востока «комфортную, счастливую и интересную жизнь в условиях, когда объективные параметры жизни, климатические, инфраструктурные, уровень цен не всегда выгодно сравнимы с условиями жизни в европейской России». Трутнев сказал, что постарается «добиться лучших результатов в самое ближайшее время».","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Трутнев — полпред президента в Дальневосточном федеральном округе, бывший губернатор Пермской области и экс-министр природных ресурсов России. С 2013 года занимает пост вице-премьера.","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Чекунков — министр по развитию Дальнего Востока и Арктики. С февраля 2015 года входит в состав Правительственной комиссии по вопросам социально-экономического развития Дальнего Востока.","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Во время сигнала о ракетной опасности в Белгороде прозвучали новые взрывы, сообщают ТАСС и «РИА Новости» со ссылкой на корреспондентов.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"В очередной раз сирена ракетной опасности прозвучала в Белгороде и Белгородском районе в 16:03 мск. До этого, с начала суток, тревога объявлялась в городе по меньшей мере шесть раз.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"Днем после очередного обстрела Белгорода фрагмент сбитой ракеты комплекса «Точка-У» упал на жилой дом в районе «Харьковская гора». В результате обрушился подъезд жилого дома от первого до десятого этажа. Позже, во время проведения спасательных работ, обрушилась и кровля здания.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"По последним данным, пострадали около 20 человек, информации о погибших нет. На месте обрушения продолжаются работы. В МЧС сообщали, что спасательную операцию приходилось несколько раз прерывать из-за объявлявшихся воздушных тревог.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"Публичное обсуждение подходов к изменениям налоговой системы начнется 20 мая на экспертном совете комитета Госдумы по бюджету и налогам, сообщил председатель комитета Андрей Макаров, передает корреспондент РБК. Внесение предложений запланировано на весеннюю сессию.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
"Президент Владимир Путин в послании Федеральному собранию 29 февраля попросил правительство и Госдуму «проработать параметры амнистии в отношении некрупных компаний, которые при фактическом росте бизнеса были вынуждены использовать схемы налоговой оптимизации» — то есть схемы искусственного дробления бизнеса.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
"Глава государства подчеркнул, что для компаний не должно быть пересчета налогов и штрафов. Будет рассмотрена и возможность плавного изменения налоговой нагрузки при переходе компаний с упрощенной системы, говорил Путин.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
"Вице-спикер от партии «Новые люди» Владислав Даванков заявил, что правительство представит предложения по системе плавного перехода с упрощенной системы налогообложения (УСН) на общую систему налогообложения (ОСНО) до 30 мая.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
"В послании Федеральному собранию Путин также призывал обеспечить «более справедливое распределение налогового бремени в сторону тех, у кого более высокие личные и корпоративные доходы». Пресс-секретарь президента России Дмитрий Песков объяснил, что Путин считает справедливыми изменения налоговой системы, после которых те граждане, которые получают меньше, будут платить налоги по более низкой ставке, чем более обеспеченные россияне.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
"В России прогрессивная шкала НДФЛ существовала в 1992–2001 годах. Минимальная ставка составляла 12%, максимальная — 35%. Затем была введена плоская шкала с общей ставкой 13%. В 2021 году в ней появился элемент прогрессии. Так, для россиян с доходами менее 5 млн руб. в год ставка осталась на прежнем уровне — 13%, но доходы сверх этого уровня стали облагаться по ставке 15%.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
"Чемпион России, бывший главный тренер национальной сборной и двукратный участник Олимпиад Игорь Сысоев погиб в воскресенье в автоаварии, сообщила пресс-служба Федерации триатлона России.","Первый российский триатлонист на Олимпийских играх погиб в ДТП в 43 года","12 мая, 16:24"
"Сысоеву было 43 года.","Первый российский триатлонист на Олимпийских играх погиб в ДТП в 43 года","12 мая, 16:24"
"Сысоев — обладатель Кубка Европы по триатлону, основатель системы спортивной подготовки «ЦиклON», первый представитель отечественного мужского триатлона, завоевавший право выступить на Олимпиаде и вошедший в топ-5 на чемпионатах мира на олимпийской дистанции.","Первый российский триатлонист на Олимпийских играх погиб в ДТП в 43 года","12 мая, 16:24"
"Сысоев выступал за сборную в 2000-2009 годах, а в 2017-2020 годах был главным тренером команды.","Первый российский триатлонист на Олимпийских играх погиб в ДТП в 43 года","12 мая, 16:24"
"Триатлон вошел в программу Олимпиад в Сиднее в 2000 году. В 2004-м Сысоев показал на Играх 15-й результат, а в 2008-м стал девятым.","Первый российский триатлонист на Олимпийских играх погиб в ДТП в 43 года","12 мая, 16:24"
"Пресс-служба ГУ МВД по Краснодарскому краю сообщила, что в воскресенье в Темрюкском районе 43-летний водитель Voyah нарушил ПДД и выехал на встречную полосу, где столкнулся с грузовиком. Водитель внедорожника скончался на месте от полученных травм до приезда скорой, пассажирку легковушки госпитализировали.","Первый российский триатлонист на Олимпийских играх погиб в ДТП в 43 года","12 мая, 16:24"
"Комитет Госдумы по культуре поддержал кандидатуру Ольги Любимовой на пост министра культуры в новом правительстве России, говорится в поступившем в РБК сообщении министерства.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"Любимова, которая возглавляет ведомство с 2020 года, на заседании комитета отчиталась о деятельности своего ведомства в последние годы и его планах. По ее словам, особое внимание уделят задачам, поставленным президентом Владимиром Путиным в послании Федеральному собранию и различных нормативных актах последнего времени.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"В следующем году запустят программу «Земский работник культуры», чтобы закрыть потребность регионов в работниках культуры в малых населенных пунктах (сейчас она составляет 16 275 человек). Также будет проработана программа сохранения объектов культурного наследия народов России, сказано в сообщении.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"До того как стать министром культуры, Любимова более 20 лет проработала в тележурналистике, в том числе была ведущей и продюсером на каналах ТВЦ, «Культура» и др., работала замглавы дирекции социальных и публицистических программ «Первого канала». В 2015 году заняла должность советника руководителя департамента кинематографии Минкультуры, которая была создана специально для нее, а в 2018-м возглавила сам департамент вместо ушедшего в Госфильмофонд Вячеслава Тельнова.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"В 2023 году при Любимовой состоялось два знаковых события в музейной отрасли: РПЦ были переданы рака Александра Невского, прежде хранившаяся в «Эрмитаже» и «Троица» Андрея Рублева, которая раньше выставлялась в Третьяковской галерее.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"За годы управления Любимовой Минкультуры оказалось в центре ряда резонансных событий в сфере кинематографа. Так, министерство многократно отказывало в выдаче прокатных удостоверений ожидаемым фильмам, например «Министерству неджентльменских дел» Гая Ричи, «Брату 3», «Искушению» Пола Верховена, сериалу «Монастырь» с Анастасией Ивлеевой в главной роли и т.д. В 2024 году Любимова заявила о перспективе штрафов и даже закрытия кинотеатров, которые практикуют «предсеансное обслуживание» и показывают голливудские фильмы ушедших из России кинокомпаний.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"Толчок к развитию за этот период получила театральная сфера. Выручка российских театров от продажи билетов на собственные спектакли по итогам 2022 года (последний доступный период официальной статистики Минкультуры) превысила результаты допандемийного 2019-го на 15% и достигла 28,9 млрд против 25,1 млрд руб. Впрочем, в количестве зрителей результаты прошлого года все еще уступали 2019-му на 8%: 31,2 млн против 33,8 млн человек.","Комитет Думы поддержал кандидатуру Любимовой на пост главы Минкультуры","12 мая, 16:18"
"Запуск ракеты, использованной во время атаки на Белгород, где фрагмент «Точки-У» обрушил подъезд жилого дома, был осуществлен из района поселка Казачья Лопань в Харьковской области, сообщает ТАСС со ссылкой на силовые структуры.","ТАСС назвал место пуска ударившей по Белгороду ракеты","12 мая, 16:00"
"«Запуск ракеты, предварительно, осуществлялся с юго-запада, это район Казачьей Лопани», — сказал собеседник агентства.","ТАСС назвал место пуска ударившей по Белгороду ракеты","12 мая, 16:00"
"Минобороны сообщило 12 мая, что Белгород был атакован шестью ракетами «Точка-У», четырьмя реактивными снарядами системы залпового огня (РСЗО) Vampire «Вампир» и двумя реактивными снарядами РСЗО «Ольха». Один из фрагментов сбитых фрагментов «Точки-У» повредил многоквартирный дом.","ТАСС назвал место пуска ударившей по Белгороду ракеты","12 мая, 16:00"
"При обрушении подъезда, по последним данным властей, пострадали 19 человек, среди них есть дети, а также спасатели, прибывшие на разбор завалов, о погибших не сообщалось. Всего во время атаки в Белгороде получили повреждения 62 квартиры в трех многоквартирных домах, а также 11 автомобилей. Также зафиксированы повреждения в поселке Дубовое, селе Таврово к югу от города, селе Стрелецкое к северо-западу и поселке Новосадовый к северо-востоку от столицы региона.","ТАСС назвал место пуска ударившей по Белгороду ракеты","12 мая, 16:00"
"Российские войска ведут наступления в Харьковской области. За прошедшие два дня были взяты под контроль девять населенных пунктов, в том числе несколько сел к востоку от трассы Белгород — Харьков. Казачья Лопань находится к западу от нее.","ТАСС назвал место пуска ударившей по Белгороду ракеты","12 мая, 16:00"
"Главком ВСУ Александр Сырский заявил, что ситуация для украинской армии в Харьковской области «обострилась».","ТАСС назвал место пуска ударившей по Белгороду ракеты","12 мая, 16:00"
"Московский «Локомотив» победил «Оренбург» в матче 28-го тура Российской премьер-лиги (РПЛ).","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"Игра в Оренбурге завершилась со счетом 0:2. Счет на восьмой минуте с передачи Максима Глушенкова открыл 18-летний Алексей Батраков, который впервые отличился в РПЛ.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"Еще один гол в ворота «Оренбурга» на 62-й минуте забил Александр Сильянов, которому также ассистировал Глушенков.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"На 49-й минуте защитник гостей Жерзино Ньямси из убойной позиции попал в перекладину.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"С 83-й минуты хозяева остались вдесятером после удаления Габриэля Флорентина, который получил вторую желтую карточку.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"Глушенков отдал уже 14 голевых передач в этом сезоне, больше было только у Халка в «Зените» (16, сезон 2015/16). При этом восемь из девяти последних ассистов «железнодорожников» в лиге — на счету Глушенкова.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"«Локомотив» набрал 47 очков и поднялся на четвертое место в турнирной таблице.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"У «Оренбурга» 29 очков и 12-е место.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"В следующем туре «Локомотив» сыграет с воронежским «Факелом» 18 мая, а «Оренбург» — с екатеринбургским «Уралом» 19 мая.","«Локомотив» победил «Оренбург» благодаря дебютному голу 18-летнего игрока","12 мая, 15:58"
"О том, что Белгород и Белгородский район подверглись массированному обстрелу со стороны Вооруженных сил Украины (ВСУ), в 11:48 мск 12 мая сообщил губернатор региона Вячеслав Гладков. По его словам, в крупнейшем жилом районе городе «Харьковская гора» в результате попадания снаряда в многоквартирный жилой дом обрушился подъезд с десятого по первый этаж.","Обрушение жилого дома в Белгороде после обстрела. Главное","12 мая, 15:56"
"Минобороны сообщило, что ВСУ около 11:40 мск атаковали Белгород с применением тактического ракетного комплекса (ТРК) «Точка-У», реактивных систем залпового огня (РСЗО) «Ольха» и RM-70 Vampire. По данным ведомства, жилой дом в Белгороде был поврежден фрагментами одной из сбитых ракет «Точка-У».","Обрушение жилого дома в Белгороде после обстрела. Главное","12 мая, 15:56"
"На место происшествия приехали спасатели. После начала разбора завалов крыша попавшего под обстрел дома обрушилась на спасателей.","Обрушение жилого дома в Белгороде после обстрела. Главное","12 мая, 15:56"
"Обрушение затронуло десять этажей в подъезде дома, всего пострадали 40 квартир, сказал глава администрации Белгорода Валентин Демидов. Он добавил, что спасатели с помощью автовышки эвакуировали из квартир людей, которые оказались заблокированными из-за разрушения лестницы и лифта.","Обрушение жилого дома в Белгороде после обстрела. Главное","12 мая, 15:56"
"Хоккеисты сборной Финляндии одержали крупную победу над командой Великобритании на проходящем в Чехии чемпионате мира.","Сборная Финляндии разгромила британцев со счетом 8:0 на ЧМ по хоккею","12 мая, 15:40"
"Матч в Праге завершился со счетом 6:0 (1:0, 5:0, 2:0).","Сборная Финляндии разгромила британцев со счетом 8:0 на ЧМ по хоккею","12 мая, 15:40"
"Хет-трик на счету Оливера Капанена, Микаэль Гранлунд и Ахти Оксанен сделали по четыре результативные передачи.","Сборная Финляндии разгромила британцев со счетом 8:0 на ЧМ по хоккею","12 мая, 15:40"
"Британцы потерпели второе поражение подряд и замыкают турнирную таблицу группы А.","Сборная Финляндии разгромила британцев со счетом 8:0 на ЧМ по хоккею","12 мая, 15:40"
"В следующем матче турнира финны сыграют с норвежцами 13 мая, а британцы — со швейцарцами 15 мая.","Сборная Финляндии разгромила британцев со счетом 8:0 на ЧМ по хоккею","12 мая, 15:40"
"Сборная России пропускает третий чемпионат мира подряд из-за отстранения.","Сборная Финляндии разгромила британцев со счетом 8:0 на ЧМ по хоккею","12 мая, 15:40"
"Правительство представит предложения по системе плавного перехода с упрощенной системы налогообложения (УСН) на общую систему налогообложения (ОСНО) до 30 мая. Об этом сообщил вице-спикер от партии «Новые люди» Владислав Даванков по итогам заседания комитета Госдумы, где утверждалась кандидатура Антона Силуанова на пост главы Минфина, передает корреспондент РБК.","В Думе назвали срок подготовки предложений по налогообложению для бизнеса","12 мая, 15:34"
"«Это хорошая новость для всех предпринимателей. Все помнят громкие дела о задержаниях предпринимателей за дробление бизнеса. Но в ряде случаев к дроблению подталкивает сама налоговая система», — заявил Даванков.","В Думе назвали срок подготовки предложений по налогообложению для бизнеса","12 мая, 15:34"
"По его словам, правительство понимает, что «невозможно перейти с УСН на общую систему при росте выручки и при этом сохранить прибыль», и идет навстречу. «Мы рассматриваем это в том числе как шаг к понятному порядку амнистии за дробление бизнеса», — добавил Даванков.","В Думе назвали срок подготовки предложений по налогообложению для бизнеса","12 мая, 15:34"
"В послании Федеральному собранию 29 февраля президент Владимир Путин попросил правительство и Госдуму «проработать параметры амнистии в отношении некрупных компаний, которые при фактическом росте бизнеса были вынуждены использовать схемы налоговой оптимизации», — иными словами, схемы искусственного дробления бизнеса.","В Думе назвали срок подготовки предложений по налогообложению для бизнеса","12 мая, 15:34"
"Для компаний не должно быть пересчета налогов и штрафов, отметил Путин. Он рассказал, что будет также рассмотрена возможность плавного изменения налоговой нагрузки при переходе компаний с «упрощенки».","В Думе назвали срок подготовки предложений по налогообложению для бизнеса","12 мая, 15:34"
"К 2026 году в России более чем в тысяче вузов будет внедрена новая модель высшего образования, сообщил и.о. вице-премьера Дмитрий Чернышенко на заседании комитета Госдумы по науке и высшему образованию, передает ТАСС. На нем поддержали кандидатуру Чернышенко на пост зампреда правительства.","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"«Мы с вами вместе работаем по поручению президента над формированием новой модели высшего образования. С 2026 года планируется ее полномасштабное внедрение более чем в тысяче вузов страны», — сказал он.","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"В мае 2022-го министр науки и высшего образования Валерий Фальков объявил о намерении России отказаться от Болонской системы высшего образования и разработать «собственную уникальную».","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"Год спустя президент Владимир Путин подписал указ о реализации в учебном году 2023/24 пилотного проекта с новыми уровнями высшего образования.","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"Он предполагает два уровня: базовый (срок освоения — четыре-шесть лет) и специализированный (магистратура — один-три года, ординатура, ассистентура-стажировка). Аспирантура отнесена к профессиональному образованию.","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"Для реализации пилотного проекта выбрали шесть вузов: Балтийский федеральный университет им. Иммануила Канта, Московский авиационный институт (НИУ МАИ), Национальный исследовательский технологический университет МИСиС, Московский педагогический государственный университет, Санкт-Петербургский горный университет, Томский государственный университет.","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"По словам Чернышенко, в рамках новой системы уже разработаны 180 новых образовательных программ, на обучение по ним в прошлом году приняли свыше 4 тыс. студентов.","Власти заявили о плане расширить новую модель образования на тысячу вузов","12 мая, 15:23"
"Министерство спорта в случае назначения его главой Михаила Дегтярева займется развитием массового спорта, в числе приоритетов будут также зрелищность внутрироссийских соревнований и отмена платы для людей при занятии спортом, сообщил губернатор Хабаровского края на заседании профильного комитета Госдумы, передает корреспондент РБК.","Дегтярев рассказал, чем займется на посту главы Минспорта","12 мая, 15:23"
"«С учетом нынешнего положения дел основной акцент будем делать на развитии массового спорта как основы здоровья, вовлечения людей в проактивность. Детско-юношеский спорт, здесь вопрос доступности встает, мы уделим этому отдельное внимание. В регионах есть вопросы... В первую очередь — бесплатность занятия спортом для детей», — рассказал Дегтярев.","Дегтярев рассказал, чем займется на посту главы Минспорта","12 мая, 15:23"
"Кандидат на пост министра назвал «безобразием» существование стартовых взносов и других платежей при участии спортсменов в соревнованиях. «Я считаю, государство должно брать это на себя и исходя из этого одна из наших задач — внимательно посмотреть календарный план, выделить базовые соревнования и полностью взять на обеспечение государства. Никаких стартовых взносов, никаких других платежей», — сказал он.","Дегтярев рассказал, чем займется на посту главы Минспорта","12 мая, 15:23"
"Важнейшим вопросом он назвал «зрелищность внутренних соревнований». Он отметил, что «если правильно подойти к маркетингу», то на соревнованиях внутри России получится зарабатывать, и в качестве примера привел рост доходов хоккейного клуба «Амур» из Хабаровского края. «Конечно, мы хотим, чтобы наши внутренние соревнования по кассе, по аудитории обгоняли многие международные», — подчеркнул он.","Дегтярев рассказал, чем займется на посту главы Минспорта","12 мая, 15:23"
"Еще один вопрос, озвученный кандидатом в министры, — лицензирование физкультурно-оздоровительных услуг. «Их оказывают не только государственные и муниципальные учреждения, иногда это частные организации. Вскрываются факты не очень квалифицированных кадров, которые вместо здоровья могут нанести [вред]. Будем с Думой обсуждать. Вопрос лицензирования и аккредитации таких организаций, я думаю, тоже может встать», — заметил Дегтярев.","Дегтярев рассказал, чем займется на посту главы Минспорта","12 мая, 15:23"
"Дегтярев дважды избирался депутатом Госдумы от ЛДПР (2011–2020 годы, VI и VII созывы), где возглавлял комитет по физической культуре, спорту, туризму и делам молодежи. В 2020 году депутатские полномочия Дегтярева были прекращены досрочно — он стал исполняющим обязанности главы Хабаровского края во время массовых протестов, спровоцированных арестом губернатора Сергея Фургала (также члена ЛДПР).","Дегтярев рассказал, чем займется на посту главы Минспорта","12 мая, 15:23"
"В России число женщин репродуктивного возраста будет снижаться. Об этом заявила и.о. вице-премьера Татьяна Голикова на заседании профильного комитета, передает ТАСС.","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"«Количество женщин, которые находятся в репродуктивном возрасте, существенно снизилось, тенденция по снижению будет еще достаточно длительное время наблюдаться, хотя возраста 20–29 лет начнут прирастать после 2028 года», — сказала она.","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"Голикова заявила о важности выработки мер, направленных на перелом существующих репродуктивных установок, так как «женщины принимают решение о рождении первого ребенка уже в более позднем возрасте».","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"И.о. вице-премьера напомнила, что президент Владимир Путин поставил задачу увеличить суммарный коэффициент рождаемости (число детей, рожденных одной женщиной на протяжении всего репродуктивного периода) в России до 1,6 к 2030 году и до 1,8 к 2036 году, а также достичь ежегодного роста суммарного коэффициента рождаемости третьих и последующих детей. Максимума за новейшую историю страны коэффициент достигал в 2015 году — 1,78.","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"Согласно информации Росстата, по итогам 2023 года суммарный коэффициент рождаемости в России составил 1,41. По сравнению с 2022 годом (1,42) показатель снизился незначительно, но стал минимальным за 17 лет. В последний раз более низкий коэффициент рождаемости фиксировался в 2006 году (1,31). При этом число третьих и последующих детей в расчете на одну женщину выросло.","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"Голикова подчеркнула, что в 2023 году удалось остановить тренд, который связан со снижением коэффициента рождаемости по первым детям. При этом по вторым детям рождаемость снизилась на 4,5%, а по третьим детям выросла на 3,6%, уточнила она.","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"11 мая и.о. премьер-министра Михаил Мишустин внес на рассмотрение Госдумы новый состав правительства. Предполагается, что Голикова продолжит курировать деятельность Минздрава, Минтруда и Минкульта. В ее сферу ведения войдет Федеральное агентство по делам национальностей (в прежнем составе оно находилось в сфере и.о. вице-премьера Дмитрия Чернышенко).","Голикова анонсировала снижение числа женщин репродуктивного возраста","12 мая, 15:09"
"Возглавляющего «Шанхай Шэньхуа» Леонида Слуцкого признали лучшим тренером апреля в чемпионате Китая, сообщается на странице турнира в Weibo.","Слуцкого второй раз подряд признали лучшим тренером месяца в Китае","12 мая, 15:06"
"В пяти матчах апреля «Шэньхуа» одержал три победы и дважды сыграл вничью.","Слуцкого второй раз подряд признали лучшим тренером месяца в Китае","12 мая, 15:06"
"Клуб Слуцкого еще ни разу не проиграл с начала чемпионата (11 матчей) и возглавляет турнирную таблицу.","Слуцкого второй раз подряд признали лучшим тренером месяца в Китае","12 мая, 15:06"
"Бывший главный тренер сборной России возглавил китайский клуб с начала года и выиграл с ним Суперкубок, победив действующего чемпиона «Шанхай Порт».","Слуцкого второй раз подряд признали лучшим тренером месяца в Китае","12 мая, 15:06"
"В марте Слуцкий также был признан лучшим тренером турнира.","Слуцкого второй раз подряд признали лучшим тренером месяца в Китае","12 мая, 15:06"